feature,importance
num__Age,0.5916539128431825
num__Loan_to_Income,0.47319920926850817
num__InterestRate,0.46039730357830744
num__MonthsEmployed,0.3408655497412964
cat__EmploymentType_Full-time,0.265557553668543
cat__HasDependents_Yes,0.19411556370026165
cat__HasCoSigner_Yes,0.183354927105509
cat__LoanPurpose_Home,0.18207383486250006
cat__EmploymentType_Unemployed,0.17079758224057148
cat__MaritalStatus_Married,0.15261438647322054
cat__Education_PhD,0.14604308172996966
cat__HasMortgage_Yes,0.13184758829495938
num__CreditScore,0.1303544258126549
num__NumCreditLines,0.1142887007668853
cat__Education_High School,0.11316317122126285
cat__Education_Master's,0.10420136963150366
cat__HasDependents_No,0.09197211413594905
cat__HasCoSigner_No,0.08121147754137764
cat__LoanPurpose_Business,0.07427583962178731
num__DTIRatio,0.06332678573226128
cat__MaritalStatus_Divorced,0.049877973427849255
num__Income,0.04074818089668804
cat__Education_Bachelor's,0.03493783057302865
cat__HasMortgage_No,0.02970413873082149
num__Income_per_Dependent,0.026650002308214186
cat__EmploymentType_Self-employed,0.01317169677708465
num__Credit_per_Line,0.010996280761833514
num__Rate_x_DTI,0.010033224388438348
cat__EmploymentType_Part-time,0.00578821863773475
cat__LoanPurpose_Auto,0.005513320929200258
